"filename", "language", "JSON", "Python", "Shell Script", "Properties", "Markdown", "MS SQL", "Docker", "YAML", "plaintext", "JavaScript JSX", "JavaScript", "SCSS", "PostCSS", "XML", "TypeScript", "TypeScript JSX", "HTML", "comment", "blank", "total"
"c:\Users\Duc Viet\Documents\Đatn\Customer_Action_Data_Analys_Platform\README.md", "Markdown", 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 96
"c:\Users\Duc Viet\Documents\Đatn\Customer_Action_Data_Analys_Platform\package-lock.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Duc Viet\Documents\Đatn\Customer_Action_Data_Analys_Platform\snowplow\.env", "Properties", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Duc Viet\Documents\Đatn\Customer_Action_Data_Analys_Platform\snowplow\collector-config\collector.conf", "Properties", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Duc Viet\Documents\Đatn\Customer_Action_Data_Analys_Platform\snowplow\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21, 208
"c:\Users\Duc Viet\Documents\Đatn\Customer_Action_Data_Analys_Platform\snowplow\enrich-config\enrich.conf", "Properties", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 13
"c:\Users\Duc Viet\Documents\Đatn\Customer_Action_Data_Analys_Platform\snowplow\enrich-config\enrichments\yauaa_enrichment_config.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Duc Viet\Documents\Đatn\Customer_Action_Data_Analys_Platform\snowplow\enrich-config\resolver.json", "JSON", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
"c:\Users\Duc Viet\Documents\Đatn\Customer_Action_Data_Analys_Platform\snowplow\iglu-server-config\iglu_server_config.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Duc Viet\Documents\Đatn\Customer_Action_Data_Analys_Platform\snowplow\iglu-server-config\init.sql", "MS SQL", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38
"c:\Users\Duc Viet\Documents\Đatn\Customer_Action_Data_Analys_Platform\snowplow\kafka-connect-config\jdbc-sink.json", "JSON", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\Duc Viet\Documents\Đatn\Customer_Action_Data_Analys_Platform\snowplow\output.txt", "plaintext", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Duc Viet\Documents\Đatn\Customer_Action_Data_Analys_Platform\snowplow\parsed_output.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
